Id,Geography,key,order,value
0400000US23,Maine,35000 to 49999,6,14.4
0400000US23,Maine,75000 to 99999,7,12.3
0400000US23,Maine,50000 to 74999,8,19
0400000US23,Maine,100000 to 149999,9,10.6
0400000US23,Maine,150000 to 199999,10,3
0400000US23,Maine,200000+,11,2.8
0400000US24,Maryland,Total,1,2149424
0400000US24,Maryland,<10000,2,5.4
0400000US24,Maryland,10000 to 14999,3,3.5
0400000US24,Maryland,15000 to 24999,4,7.2
0400000US24,Maryland,25000 to 34999,5,7.3
0400000US24,Maryland,35000 to 49999,6,10.8
0400000US24,Maryland,75000 to 99999,7,13.3
0400000US24,Maryland,50000 to 74999,8,17.4
0400000US24,Maryland,100000 to 149999,9,18
0400000US24,Maryland,150000 to 199999,10,8.5
0400000US24,Maryland,200000+,11,8.6
0400000US25,Massachusetts,Total,1,2528592
0400000US25,Massachusetts,<10000,2,6.5
0400000US25,Massachusetts,10000 to 14999,3,5.2
0400000US25,Massachusetts,15000 to 24999,4,8.9
0400000US25,Massachusetts,25000 to 34999,5,7.9
0400000US25,Massachusetts,35000 to 49999,6,10.8
0400000US25,Massachusetts,75000 to 99999,7,12.5
0400000US25,Massachusetts,50000 to 74999,8,16.1
0400000US25,Massachusetts,100000 to 149999,9,16.4
0400000US25,Massachusetts,150000 to 199999,10,7.7
0400000US25,Massachusetts,200000+,11,8
0400000US26,Michigan,Total,1,3815532
0400000US26,Michigan,<10000,2,8.4
0400000US26,Michigan,10000 to 14999,3,5.8
0400000US26,Michigan,15000 to 24999,4,11.8
0400000US26,Michigan,25000 to 34999,5,11.2
0400000US26,Michigan,35000 to 49999,6,14.6
0400000US26,Michigan,75000 to 99999,7,11.7
0400000US26,Michigan,50000 to 74999,8,18.4
0400000US26,Michigan,100000 to 149999,9,11.3
0400000US26,Michigan,150000 to 199999,10,3.7
0400000US26,Michigan,200000+,11,3.1
0400000US27,Minnesota,Total,1,2109924
0400000US27,Minnesota,<10000,2,5.8
0400000US27,Minnesota,10000 to 14999,3,4.5
0400000US27,Minnesota,15000 to 24999,4,9.3
0400000US27,Minnesota,25000 to 34999,5,9.2
0400000US27,Minnesota,35000 to 49999,6,13.3
0400000US27,Minnesota,75000 to 99999,7,14
0400000US27,Minnesota,50000 to 74999,8,19.2
0400000US27,Minnesota,100000 to 149999,9,14.9
0400000US27,Minnesota,150000 to 199999,10,5.2
0400000US27,Minnesota,200000+,11,4.7
0400000US28,Mississippi,Total,1,1086898
0400000US28,Mississippi,<10000,2,11.8
0400000US28,Mississippi,10000 to 14999,3,8.3
0400000US28,Mississippi,15000 to 24999,4,14.3
0400000US28,Mississippi,25000 to 34999,5,12.1
